case_id,expected_label,synthetic_url,local_html_fixture_path,rationale,source,url_score,url_signals,html_score,html_signals,combined_score,predicted_label,verdict,correct
B01,benign,https://search.example/catalog,fixtures/b01_search_page.html,Static site-search model; no credential collection.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B02,benign,https://docs.example/getting-started,fixtures/b02_documentation_page.html,Ordinary product documentation.,synthetic_offline_evaluation,10,Hyphenated URL detected,0,,10,phishing,Medium Risk,false
B03,benign,https://university.example/admissions,fixtures/b03_university_page.html,University admissions information only.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B04,benign,https://shop.example/products/linen-notebook,fixtures/b04_ecommerce_product.html,Product listing with a non-credential cart control.,synthetic_offline_evaluation,10,Hyphenated URL detected,0,,10,phishing,Medium Risk,false
B05,benign,https://journal.example/articles/growing-herbs,fixtures/b05_blog_article.html,Normal editorial article.,synthetic_offline_evaluation,10,Hyphenated URL detected,0,,10,phishing,Medium Risk,false
B06,benign,https://member.example/dashboard,fixtures/b06_account_dashboard.html,Read-only member dashboard without a form.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B07,benign,https://portal.example/signin,fixtures/b07_ordinary_login.html,Legitimate-style ordinary login represented locally and inertly.,synthetic_offline_evaluation,15,Suspicious keyword detected: signin,20,Password input field detected,35,phishing,Medium Risk,false
B08,benign,https://help.example/reset,fixtures/b08_password_reset.html,Legitimate-style reset page represented locally and inertly.,synthetic_offline_evaluation,0,,20,Password input field detected,20,phishing,Medium Risk,false
B09,benign,https://creditunion.example/services,fixtures/b09_banking_information.html,"Local banking-services information, not a collection page.",synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B10,benign,https://support.example/contact,fixtures/b10_contact_support.html,Support contact form without credentials.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B11,benign,https://weather.example/colombo,fixtures/b11_weather_page.html,Informational weather forecast.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B12,benign,https://recipes.example/soup,fixtures/b12_recipe_page.html,Static cooking recipe.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B13,benign,https://library.example/events,fixtures/b13_library_events.html,Public library events listing.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B14,benign,https://travel.example/guide/coast,fixtures/b14_travel_guide.html,Travel guide with no transactional fields.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B15,benign,https://status.example/,fixtures/b15_service_status.html,Routine public service-status page.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B16,benign,https://forum.example/topics/gardening,fixtures/b16_forum_topic.html,Static discussion rendering.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B17,benign,https://museum.example/exhibits/maps,fixtures/b17_museum_page.html,Museum exhibit information.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B18,benign,https://news.example/local/market,fixtures/b18_news_article.html,Normal news article.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B19,benign,https://fitness.example/classes,fixtures/b19_fitness_schedule.html,Class schedule and booking information.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B20,benign,https://calendar.example/events,fixtures/b20_community_calendar.html,Community event list.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B21,benign,https://files.example/share/guide,fixtures/b21_file_share_landing.html,Static file-share landing page with no collection action.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B22,benign,https://education.example/course/history,fixtures/b22_course_page.html,Online-course informational page.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B23,benign,https://music.example/playlists/jazz,fixtures/b23_music_page.html,Playlist description only.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B24,benign,https://volunteer.example/opportunities,fixtures/b24_volunteer_page.html,Volunteer-opportunity listing.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
B25,benign,https://knowledge.example/faq,fixtures/b25_faq_page.html,Frequently asked questions without a credential form.,synthetic_offline_evaluation,0,,0,,0,benign,Low Risk,true
P01,phishing,https://secure-verify-login.example/continue,fixtures/p01_urgent_verification_form.html,Synthetic urgent credential-verification pattern.,synthetic_offline_evaluation,70,Suspicious keyword detected: login | Suspicious keyword detected: verify | Suspicious keyword detected: secure | Hyphenated URL detected | Multiple hyphens detected,50,Suspicious keyword detected: verify your account | Suspicious keyword detected: urgent action required | Password input field detected | Credential form submits to an external destination | Credential verification language detected,120,phishing,High Risk,true
P02,phishing,https://bank-login-check.example/session,fixtures/p02_fake_banking_login.html,Synthetic banking-login wording with external-looking inert form action.,synthetic_offline_evaluation,65,Suspicious keyword detected: login | Suspicious keyword detected: bank | Suspicious keyword detected: check | Hyphenated URL detected | Multiple hyphens detected,50,Suspicious keyword detected: bank login | Suspicious keyword detected: confirm identity | Password input field detected | Credential form submits to an external destination | Credential verification language detected,115,phishing,High Risk,true
P03,phishing,https://wallet-security-update.example/,fixtures/p03_wallet_security_form.html,Synthetic wallet security update pattern.,synthetic_offline_evaluation,65,Suspicious keyword detected: update | Suspicious keyword detected: wallet | Suspicious keyword detected: security | Hyphenated URL detected | Multiple hyphens detected,50,Suspicious keyword detected: verify your account | Suspicious keyword detected: security alert | Password input field detected | Credential form submits to an external destination | Credential verification language detected,115,phishing,High Risk,true
P04,phishing,http://confirm-account.example/,fixtures/p04_http_confirmation.html,Synthetic non-HTTPS confirmation lure.,synthetic_offline_evaluation,50,URL does not use HTTPS | Suspicious keyword detected: account | Suspicious keyword detected: confirm | Hyphenated URL detected,45,Suspicious keyword detected: confirm identity | Password input field detected | Credential form submits to an external destination | Credential verification language detected,95,phishing,High Risk,true
P05,phishing,https://paypa1-billing-login.example/,fixtures/p05_brand_typosquat_pattern.html,Synthetic lookalike-style URL and credential request.,synthetic_offline_evaluation,40,Suspicious keyword detected: login | Hyphenated URL detected | Multiple hyphens detected,45,Suspicious keyword detected: verify your account | Password input field detected | Credential form submits to an external destination | Credential verification language detected,85,phishing,High Risk,true
P06,phishing,https://free-gift-claim.example/reward,fixtures/p06_reward_lure.html,Synthetic reward lure with credential request.,synthetic_offline_evaluation,50,Suspicious keyword detected: free | Suspicious keyword detected: gift | Hyphenated URL detected | Multiple hyphens detected,40,Suspicious keyword detected: claim reward | Suspicious keyword detected: limited time offer | Password input field detected | Credential form submits to an external destination,90,phishing,High Risk,true
P07,phishing,https://crypto-wallet-verify.example/,fixtures/p07_crypto_wallet_lure.html,Synthetic crypto-wallet verification pattern.,synthetic_offline_evaluation,65,Suspicious keyword detected: verify | Suspicious keyword detected: wallet | Suspicious keyword detected: crypto | Hyphenated URL detected | Multiple hyphens detected,45,Suspicious keyword detected: verify your account | Password input field detected | Credential form submits to an external destination | Credential verification language detected,110,phishing,High Risk,true
P08,phishing,https://signin-security-alert.example/,fixtures/p08_security_alert.html,Synthetic sign-in security-alert pattern.,synthetic_offline_evaluation,55,Suspicious keyword detected: security | Suspicious keyword detected: signin | Hyphenated URL detected | Multiple hyphens detected,45,Suspicious keyword detected: security alert | Password input field detected | Credential form submits to an external destination | Credential verification language detected,100,phishing,High Risk,true
P09,phishing,https://account-check.example/,fixtures/p09_credential_iframe.html,Synthetic credential lure containing a structural iframe.,synthetic_offline_evaluation,30,Suspicious keyword detected: account | Suspicious keyword detected: check | Hyphenated URL detected,55,Suspicious keyword detected: verify your account | Password input field detected | Credential form submits to an external destination | Credential verification language detected | iframe detected,85,phishing,High Risk,true
P10,phishing,https://verify.example/document,fixtures/p10_script_obfuscation_indicator.html,Synthetic verification lure with an eval indicator in executable script.,synthetic_offline_evaluation,15,Suspicious keyword detected: verify,60,Suspicious keyword detected: verify your account | Password input field detected | Credential form submits to an external destination | Credential verification language detected | Potentially dangerous JavaScript detected,75,phishing,High Risk,true
P11,phishing,https://secure-update.example/customer,fixtures/p11_external_password_action.html,External-looking inert password-form submission indicator.,synthetic_offline_evaluation,35,Suspicious keyword detected: secure | Suspicious keyword detected: update | Hyphenated URL detected,30,Password input field detected | Credential form submits to an external destination,65,phishing,Medium Risk,true
