fixture_id,h5b2_score,h5b3_score,h5b2_reasons,h5b3_reasons
plain_benign,0,0,,
benign_search,0,0,,
benign_contact,0,0,,
benign_newsletter,0,0,,
login_form,20,20,Password input field detected,Password input field detected
external_credential,30,30,Password input field detected | Credential form submits to an external destination,Password input field detected | Credential form submits to an external destination
suspicious_password,20,20,Password input field detected,Password input field detected
hidden_iframe,10,10,iframe detected,iframe detected
iframe_text_only,10,0,iframe detected,
iframe_comment_only,10,0,iframe detected,
iframe_script_only,10,0,iframe detected,
multiple_noncredential_forms,0,0,,
fake_banking_login,45,45,Suspicious keywords + password + external credential,Suspicious keywords + password + external credential
